Sponsor/Contributor,Details/Notes,Amount (Formatted)
ambacar,,
Alvarez Barba S.A.,Fundada en 1932,
auto clave,COMPRA SEGURA,
Audi,,
sikkens AkzoNobel,,
AVIAUTO,QUITO GUAYAQUIL,
Banco Guayaquil,,
WANDA,iwanda es el color!,
BOSCH,Innovación para tu vida,
BAPU,,
Chevy Plan,,
ECUAWAGEN,,
FRENOSEGURO,LLANTAS AUTOPARTES SERVICIOS,
gm general motors,,
GARNER ESPINOSA,Líderes en Tecnología Diésel LABORATORIO DE TURBOS Y SISTEMAS DE INYECCIÓN DE MOTORES A DIÉSEL Y GASOLINA,
HYUNDAI,,
INSTITUTO SUPERIOR TECNOLÓGICO TECNOECUATORIANO,,
MOSUMI MOTRANSA,,
corporación MARCHA,,
Netlife,CONECTA TU VIDA,
Motor Terra,,
PREDIQT,DATA TO AI,
RENAULT,,
NISSAN,,
RCB Customs,customs brokerage,
Salotec,"Luminoplastia ""La estética de la luz""",
Serinse,Brand Experience,
SEGINUS,,
SCHRYVER LOGISTICS,,
tbō Agencia Publicitaria,,
SHERWIN WILLIAMS.,Automotive Finishes,
SUZUKI,,
TOYOTA Casabaca,,
VeHicentro SINOTRUK,,
Volkswagen (Logo),,
