marca_moto,dic_24,dic_25,ene_dic_24,ene_dic_25
SHINERAY,185.0,171.0,2318.0,1769
KIA,1248.0,1518.0,16639.0,19035
HYUNDAI,274.0,577.0,4838.0,7081
CHEVROLET,579.0,509.0,8604.0,7010
CHERY,323.0,513.0,4718.0,5658
TOYOTA,361.0,437.0,5222.0,4606
RENAULT,266.0,435.0,3664.0,4795
BYD,104.0,359.0,827.0,2769
DFSK,177.0,261.0,2033.0,2565
MAZDA,172.0,184.0,2314.0,2447
VOLKSWAGEN,102.0,262.0,2480.0,2336
DONGFENG,64.0,122.0,808.0,1726
NISSAN,130.0,196.0,2197.0,1554
CHANGAN,172.0,242.0,1303.0,1461
GWM,92.0,140.0,621.0,1135
SHINERAY,150.0,86.0,1741.0,1060
MG,63.0,112.0,658.0,972
FORD,50.0,79.0,653.0,809
PEUGEOT,23.0,46.0,711.0,626
CHEVROLET,674.0,508.0,9736.0,6123
GWM,567.0,880.0,2987.0,5543
JAC,126.0,187.0,1149.0,1518
TOYOTA,138.0,127.0,1431.0,1517
DONGFENG,42.0,85.0,679.0,952
MITSUBISHI,16.0,116.0,314.0,912
VOLKSWAGEN,22.0,21.0,89.0,845
FOTON,26.0,78.0,421.0,826
FORD,70.0,83.0,1051.0,753
KYC,145.0,66.0,600.0,709
ISUZU,,,420.0,418
RAM,30.0,47.0,485.0,483
ZXAUTO,39.0,45.0,420.0,418
JMC,15.0,6.0,604.0,377
SINOTRUK,,48.0,,337
NISSAN,46.0,17.0,363.0,218
MAZDA,9.0,15.0,116.0,190
CHANGAN,42.0,26.0,288.0,178
ANKAI,,,77.0,151
BYD,14.0,26.0,18.0,139
GASOLINA,4565.0,5998.0,62152.0,65326
DIESEL,2887.0,4080.0,31610.0,36533
HIBRIDO,1076.0,1728.0,13088.0,18370
ELECTRICO BEV,173.0,562.0,1416.0,4276
SHINERAY,,,,59165
DAYTONA,,,,34109
IGM,,,,16346
TUKO,,,,18681
RANGER,,,,13372
MOTOR UNO,,,,12924
LONCIN,,,,11929
THUNDER,,,,11306
SUZUKI,,,,11189
BAJAJ,,,,11081
HONDA,,,,11048
YAMAHA,,,,10213
DUKARE,,,,7559
TUNDRA,,,,9122
AKT,,,,5984
FACTORY BIKE,,,,3853
ZONSEN,,,,3700
Z1,,,,3240
SUKIDA,,,,3043
