tipo_combustible,dic_24,dic_25,ene_dic_24,ene_dic_25
GASOLINA,4565.0,5998.0,62152.0,65326
DIESEL,2887.0,4080.0,31610.0,36533
HIBRIDO,1076.0,1728.0,13088.0,18370
ELECTRICO BEV,173.0,562.0,1416.0,4276
SHINERAY,,,,59165
DAYTONA,,,,34109
IGM,,,,16346
TUKO,,,,18681
RANGER,,,,13372
MOTOR UNO,,,,12924
LONCIN,,,,11929
THUNDER,,,,11306
SUZUKI,,,,11189
BAJAJ,,,,11081
HONDA,,,,11048
YAMAHA,,,,10213
DUKARE,,,,7559
TUNDRA,,,,9122
AKT,,,,5984
FACTORY BIKE,,,,3853
ZONSEN,,,,3700
Z1,,,,3240
SUKIDA,,,,3043
TVS,,,,2944
OTRAS MARCAS,,,,14203
